order,url,name_cn,date,score,total_votes,cover_large,tags,characters
172,https://bgm.tv/subject/302,龙猫,1988-04-16,8.2,12808,https://lain.bgm.tv/pic/cover/l/57/7b/302_VYbvw.jpg,宮崎駿;吉卜力;剧场版;龙猫;治愈;宫崎骏;久石让;1988;温馨;奇幻;原创;神配乐;国民动画;日本;动画电影;となりのトトロ;环保系;童年;GHIBLI;经典;电影;1988年;1988年4月;スタジオジブリ;映画;80年代;小女孩;神作;1980s;久石譲,草壁梅;草壁五月;龙猫;草壁达郎;猫巴士;煤球精灵
173,https://bgm.tv/subject/114685,可塑性记忆,2015-04-04,7,12538,https://lain.bgm.tv/pic/cover/l/1d/08/114685_Ege3l.jpg,催泪;原创;动画工房;恋爱;2015年4月;科幻;TV;可塑性记忆;2015;林直孝;横山克;治愈;動画工房;5pb;日本;藤原佳幸;原创动画;日常;致郁;2015年;雨宫天;机器人;纯爱;职场;虐;动画;AI;TVA;悲剧;季番,艾拉;水柿司;绢岛满;札克;桑乃实香月;康斯坦斯;缥康孝;雪莉;海松爱琉;莎拉;山野边孝雄;土器连
174,https://bgm.tv/subject/188091,珈百璃的堕落,2017-01-09,7.1,12192,https://lain.bgm.tv/pic/cover/l/39/3d/188091_IDY33.jpg,搞笑;百合;动画工房;日常;2017年1月;漫画改;TV;萌豚;萌;2017;珈百璃的堕落;漫改;校园;太田雅彦;動画工房;轻百合;日本;奇幻;喜剧;治愈;萌系;废萌;花泽香菜;2017年;轻百;大空直美;大西沙织;天使;日本动画;青岛崇,天真·珈百璃·怀特;月乃濑·薇奈特·艾普利尔;胡桃泽·撒塔妮亚·麦克斯韦;白羽·拉非夏尔·恩兹沃斯;千咲·塔普莉丝·修格贝尔;老板;真知子;猫;武田;天真·加艾露·怀特;圣光君;狗
175,https://bgm.tv/subject/185943,末日时在做什么？有没有空？可以来拯救吗？,2017-04-11,7.6,13537,https://lain.bgm.tv/pic/cover/l/a0/5f/185943_VDh22.jpg,轻小说改;恋爱;致郁;奇幻;2017年4月;TV;治愈;Satelight;催泪;轻改;2017;枯野瑛;C2C;小说改;和田純一;日本;战斗;加藤達也;异世界;サテライト;珂朵莉;和田纯一;悲剧;2017年;末日;末世;末日三问;萝莉;末日时在做什么？有没有空？可以来拯救吗？;爱情,威廉·克梅修;珂朵莉·诺塔·瑟尼欧里斯;艾瑟雅·麦杰·瓦尔卡利斯;奈芙莲·卢可·因萨尼亚;兰朵露可·伊瑟利·赫斯托利亚;诺夫特·K·迪斯佩拉提奥;缇亚特;潘丽宝;菈琪旭;可蓉;阿尔米塔;妮戈兰
176,https://bgm.tv/subject/8402,吊带袜天使,2010-10-01,8,13887,https://lain.bgm.tv/pic/cover/l/a7/49/8402_Q9mLv.jpg,GAINAX;今石洋之;美式;原创;重口;恶搞;TV;下限;2010年10月;2010;搞笑;战斗;飞天小女警×光之美少女;日本;Stocking！;成年小女警;奇幻;没有穿;吊带袜天使;飞天小女警;猎奇;锦织敦史;2010年;神作;反差值;无下限;TRIGGER;neta;节操;糟糕,Panty;Stocking;盖塔贝特;恰库;布里夫;丝坎蒂;妮索克丝;法斯特内尔;丑陋幽灵;ジャイアント・ブラウン;クレイジー・クレイジー・キャビー;クイーン・ビー
177,https://bgm.tv/subject/37685,心理测量者,2012-10-11,7.9,14510,https://lain.bgm.tv/pic/cover/l/bb/0a/37685_JLl2k.jpg,虚渊玄;科幻;PSYCHO-PASS;ProductionI.G;2012年10月;原创;TV;花泽香菜;爱的战士;2012;天野明;noitaminA;战斗;Production.I.G;関智一;反乌托邦;石田彰;悬疑;犯罪;日本;沢城みゆき;樱井孝宏;十月番;剧情;塩谷直義;心理测量者;虚淵玄;2012年;赛博朋克;盐谷直义,狡啮慎也;常守朱;槙岛圣护;宜野座伸元;征陆智己;縢秀星;六合冢弥生;唐之杜志恩;支配者;禾生壤宗;崔具成;藤间幸三郎
178,https://bgm.tv/subject/175599,剧场版 Fate/stay night [Heaven's Feel] II.lost butterfly,2019-08-21,7.8,12356,https://lain.bgm.tv/pic/cover/l/59/28/175599_HfD3G.jpg,剧场版;ufotable;Type-Moon;Fate;2019;游戏改;GAL改;战斗;奈須きのこ;間桐桜;奇幻;FateStayNight;2019年1月;日本;Fate系列;恋爱;須藤友徳;HF;2019年;须藤友德;热血;梶浦由记;奈须蘑菇;续作;梶浦由記;蘑菇;电影;动画电影;桧山彬;型月,卫宫士郎;间桐樱;吉尔伽美什;伊莉雅斯菲尔·冯·爱因兹贝伦;间桐慎二;言峰绮礼;远坂凛;藤村大河;阿尔托莉雅・潘德拉贡〔Alter〕;间桐脏砚;美杜莎;咒腕的哈桑
179,https://bgm.tv/subject/37785,来自新世界,2012-09-28,8.1,15065,https://lain.bgm.tv/pic/cover/l/9a/64/37785_aBBEd.jpg,反乌托邦;A-1Pictures;科幻;来自新世界;小说改;2012年10月;TV;猎奇;2012;花澤香菜;悬疑;花泽香菜;奇幻;小说改编;A-1;轻小说改;人类衰退之后？;日本;石浜真史;轻改;神作;剧情;致郁;种田梨沙;2012年;石滨真史;SF;百合;A-1_Pictures;貴志祐介,渡边早季;朝比奈觉;秋月真理亚;伊东守;青沼瞬;野狐丸;奇狼丸;天野丽子;渡边瑞穗;杉浦敬;无瞋;离尘
180,https://bgm.tv/subject/509986,末日后酒店,2025-04-08,8.2,15340,https://lain.bgm.tv/pic/cover/l/6e/1a/509986_99qsc.jpg,原创;科幻;2025年4月;CygamesPictures;末世;治愈;TV;奇幻;日常;日本;2025;搞笑;催泪;春藤佳奈;村越繁;2025年;无法预测的命运之舞台;单元剧;4月;电波;机器人;喜剧;神作;漫画改;原创动画;key;末日后酒店;高低得试试;游戏改;Air,八千代;嘭子;门厅侍者机器人;环境监测机器人;老板;文福;貒;布久利;貉;外星旅客;触手爱人;触手宇宙人
181,https://bgm.tv/subject/50814,打工吧！魔王大人,2013-04-04,7.1,12621,https://lain.bgm.tv/pic/cover/l/4a/9f/50814_B44q8.jpg,搞笑;轻小说改;打工吧！魔王大人;2013年4月;WHITEFOX;TV;2013;奇幻;日笠阳子;轻改;日常;颜艺;神谷浩史;轻小说;東山奈央;小说改;后宫;穿越;战斗;日本;恋爱;2013年四月番;异世界;細田直人;逢坂良太;细田直人;2013年;吐槽;横谷昌宏;WHITE_FOX,真奥贞夫;游佐惠美;芦屋四郎;漆原半藏;佐佐木千穗;镰月铃乃;艾美拉达·爱德华;铃木梨香;猿江三月;アルバート・エンデ;大神官オルバ・メイヤー;水岛由姬
