rank,source_page,source_page_start,subject_id,subject_url,title,cover_url,abstract,abstract_2,rating,rating_count,star_count,labels,is_tv,tpl_name,search_url,parse_source
470,32,465,1871589,https://movie.douban.com/subject/1871589/,火星上的小老鼠 Die Abenteuer der Maus auf dem Mars‎ (1976),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2518123440.webp,西德 / 瑞士 / 奥地利 / 匈牙利 / 南斯拉夫 / 动画 / 家庭 / 火星上的冒险家 / 老鼠火星历险记 / 5分钟,Branko Ranitovic / Miklós Temesi,9,6718,4.5,['剧集'],True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=465,window.__DATA__
715,48,705,1431712,https://movie.douban.com/subject/1431712/,真假李逵‎ (1981),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2649083748.webp,中国大陆 / 动画 / 短片 / 17分钟,詹同,7.9,6699,4,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=705,window.__DATA__
239,16,225,3062549,https://movie.douban.com/subject/3062549/,雪人波利 Bouli‎ (1990),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2225648744.webp,法国 / 剧情 / 动画 / 雪人波利 / 28分钟,,8.3,6657,4,['剧集'],True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=225,window.__DATA__
282,19,270,4179369,https://movie.douban.com/subject/4179369/,百兽王GoLion 百獣王ゴライオン‎ (1981),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554088354.webp,日本 / 动画 / 家庭 / 科幻 / 动作 / 冒险 / 战神金刚 / 百兽王GoLion,田口胜彦 / 秋山胜仁 / 又野弘道 / 松浦锭平 / 长尾肃 / 井上和彦 / 中尾隆圣 / 水岛裕 / 玄田哲章 / 野泽雅子 / 鹈饲留美子 / 藤城裕士 / 青木和代,8.2,6626,4,['剧集'],True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=270,window.__DATA__
607,41,600,1498599,https://movie.douban.com/subject/1498599/,阿凡提的故事之偷东西的驴‎ (1985),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2649083255.webp,中国大陆 / 动画 / 短片 / 第五集：偷东西的驴 / 20分钟,曲建方 / 毕克 / 邱岳峰,8.7,6620,4.5,[],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=600,window.__DATA__
451,31,450,2034166,https://movie.douban.com/subject/2034166/,佐罗的新冒险 The New Adventures of Zorro‎ (1981),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2530388246.webp,美国 / 动画 / 冒险 / 佐罗 / 佐罗的传说,亨利·达罗 / Julio Medina / 唐·戴蒙德,7.9,6572,4,['剧集'],True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=450,window.__DATA__
721,49,720,1845617,https://movie.douban.com/subject/1845617/,华斯比历险记 The Adventures of Teddy Ruxpin‎ (1987),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2554013230.webp,美国 / 动画 / 动作 / 冒险 / 家庭 / 奇幻 / 歌舞 / 特迪历险记 / 23分钟,Chris Schouten / Phil Baron / John Stocker / 威尔·瑞恩 / Bernadette / Arthur Boni / Jan Anne Drenth,8.5,6564,4.5,['剧集'],True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=720,window.__DATA__
404,27,390,26745079,https://movie.douban.com/subject/26745079/,淘气包马小跳‎ (2008),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2324482012.webp,中国大陆 / 喜剧 / 动画 / 家庭 / 13分钟,黄军 / 李然 / 薛岚 / 王翔,7.8,6525,4,"['剧集', '可播放']",True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=390,window.__DATA__
541,37,540,11639499,https://movie.douban.com/subject/11639499/,围棋少年2‎ (2009),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2850265537.webp,中国大陆 / 剧情 / 动画 / 24分钟,马风清 / 徐刚 / 李晔 / 李正翔 / 沈达威 / 童自荣 / 王肖兵,8.2,6478,4,['剧集'],True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=540,window.__DATA__
510,34,495,1498597,https://movie.douban.com/subject/1498597/,阿凡提的故事之巧断案‎ (1986),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2568483305.webp,中国大陆 / 动画 / 短片 / 第七集：巧断案 / 20分钟,蔡渊澜 / 毕克 / 邱岳峰,8.8,6463,4.5,[],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=495,window.__DATA__
