rank,source_page,source_page_start,subject_id,subject_url,title,cover_url,abstract,abstract_2,rating,rating_count,star_count,labels,is_tv,tpl_name,search_url,parse_source
11,1,0,1307315,https://movie.douban.com/subject/1307315/,哪吒闹海‎ (1979),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2532803206.webp,中国大陆 / 冒险 / 动画 / 奇幻 / Prince Nezha's Triumph Against Dragon King / Nezha Conquers the Dragon King / 62分钟,王树忱 / 严定宪 / 徐景达 / 梁正晖 / 邱岳峰 / 毕克 / 富润生 / 尚华 / 于鼎,9.2,310891,4.5,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__
12,2,15,25769362,https://movie.douban.com/subject/25769362/,哆啦A梦：伴我同行 STAND BY ME ドラえもん‎ (2014),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2244958975.webp,日本 / 剧情 / 动画 / 与我同行的哆啦A梦 / 机器猫：伴我同行 / 95分钟,八木龙一 / 山崎贵 / 水田山葵 / 大原惠美 / 嘉数由美 / 木村昴 / 关智一 / 三石琴乃 / 松本保典 / 田原阿尔诺,8.1,296626,4,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=15,window.__DATA__
13,1,0,3926132,https://movie.douban.com/subject/3926132/,爱情公寓 (2009),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2325129230.webp,中国大陆 / 喜剧 / 爱情 / 爱情公寓 第一季 / Ipartment Season 1,韦正 / 赵霁 / 金世佳 / 娄艺潇 / 陈赫 / 孙艺洲 / 王传君,8.2,294242,4.0,"['剧集', '可播放']",True,search_subject,https://www.douban.com/search?cat=1002&q=%E7%88%B1%E6%83%85%E5%85%AC%E5%AF%93%EF%BC%88%E7%AC%AC%E4%B8%80%E5%AD%A3%EF%BC%89,playwright
14,1,0,2160565,https://movie.douban.com/subject/2160565/,家有儿女 (2005),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2932505508.webp,中国大陆 / 喜剧 / 家庭 / 家有儿女 第一部 / Home With Kids,林丛 / 宋丹丹 / 高亚麟 / 张一山 / 杨紫 / 尤浩然 / 文兴宇,9.0,267927,4.5,"['剧集', '可播放']",True,search_subject,https://www.douban.com/search?cat=1002&q=%E5%AE%B6%E6%9C%89%E5%84%BF%E5%A5%B3,playwright
15,1,0,1299643,https://movie.douban.com/subject/1299643/,宝莲灯‎ (1999),https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2195312435.webp,中国大陆 / 动画 / 奇幻 / 冒险 / Lotus Lantern / 85分钟,常光希 / 姜文 / 徐帆 / 宁静 / 陈佩斯 / 崔杰 / 丁嘉丽 / 江平 / 雷恪生,8.6,238269,4.5,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__
16,1,0,4321270,https://movie.douban.com/subject/4321270/,猫和老鼠 Tom and Jerry‎ (1965),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2554009820.webp,美国 / 喜剧 / 动画 / 家庭 / 妙妙妙 / 汤姆猫与杰米鼠 / 30分钟,约瑟夫·巴伯拉 / 威廉·汉纳 / 特克斯·艾弗里 / 迈克尔·拉赫 / 道斯·巴特勒 / 里德·科菲,9.8,207513,5,"['剧集', '可播放']",True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__
17,3,30,1782004,https://movie.douban.com/subject/1782004/,哆啦A梦 ドラえもん‎ (1979),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2510688261.webp,日本 / 动画 / 喜剧 / 家庭 / 奇幻 / 科幻 / 机器猫 / 小叮当 / 23分钟,楠叶宏三 / 芝山努 / 大山羡代 / 小原乃梨子 / 野村道子 / 立壁和也 / 肝付兼太 / 千千松幸子 / 加藤正之 / 中庸助,9.6,202780,5,"['剧集', '可播放']",True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=30,window.__DATA__
18,3,30,1428576,https://movie.douban.com/subject/1428576/,葫芦兄弟‎ (1986),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2561717360.webp,中国大陆 / 儿童 / 动画 / 葫芦娃 / The Gourd Brother / 10分钟,胡进庆 / 葛桂云 / 周克勤 / 戴欣 / 朱艺 / 倪以临 / 战车,9.2,150445,4.5,"['剧集', '可播放']",True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=30,window.__DATA__
19,3,30,1970134,https://movie.douban.com/subject/1970134/,数码宝贝 デジモンアドベンチャー‎ (1999),https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2554018582.webp,日本 / 动画 / 动作 / 冒险 / 家庭 / 奇幻 / 惊悚 / 数码暴龙 / 数码兽大冒险 / 30分钟,角铜博之 / 芝田浩树 / 川田武范 / 今村隆宽 / 今泽哲男 / 早川启二 / 志水淳儿 / 吉泽孝男 / 小坂春女 / 中村哲治 / 细田守 / 藤田淑子 / 风间勇刀 / 水谷优子 / 天神有海 / 前田爱 / 菊池正美 / 小西宽子 / 荒木香惠,9.5,147058,5,"['剧集', '可播放']",True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=30,window.__DATA__
20,1,0,3204594,https://movie.douban.com/subject/3204594/,虹猫蓝兔七侠传‎ (2006),https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2307667150.webp,中国大陆 / 剧情 / 儿童 / 动作 / 动画 / 冒险 / 武侠 / The story of hongmao and lantu / 15分钟,王宏 / 罗沐 / 许龙 / 徐艳娜 / 江莉 / 艾慕华 / 张建和 / 周韧峰 / 颜雷鸣 / 赵玉碧 / 朱海燕 / 付以琳 / 晏婷 / 刘蓉 / 刘娟 / 肖睿 / 张怀武 / 袁文君 / 廖新星,9.6,140242,5,"['剧集', '可播放']",True,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=0,window.__DATA__
21,2,15,3217149,https://movie.douban.com/subject/3217149/,忍者神龟：变种时代 Teenage Mutant Ninja Turtles‎ (2014),https://img2.doubanio.com/view/photo/s_ratio_poster/public/p2204991581.webp,美国 / 喜剧 / 动作 / 科幻 / 冒险 / 真人版忍者神龟 / 忍者龟：变种世代(台) / 101分钟,乔纳森·里贝斯曼 / 梅根·福克斯 / 威尔·阿奈特 / 威廉·菲克纳 / 阿兰·里奇森 / 诺尔·费舍 / 皮特·普劳泽克 / 约翰尼·诺克斯维尔 / 杰瑞米·霍华德,6.6,137867,3.5,['可播放'],False,search_subject,https://search.douban.com/movie/subject_search?search_text=%E7%AB%A5%E5%B9%B4%E5%8A%A8%E7%94%BB&cat=1002&start=15,window.__DATA__
